timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8
48349242792,47052,1,1,1,1,1,1,1,1
48349271901,47053,1,1,1,1,1,1,1,1
48349302896,47054,1,1,1,1,1,1,1,1
48349355856,47055,1,1,1,1,1,1,1,1
48349369243,47056,1,1,1,1,1,1,1,1
48349397811,47057,1,1,1,1,1,1,1,1
48349428968,47058,1,1,1,1,1,1,1,1
48349472861,47059,1,1,1,1,1,1,1,1
48349490298,47060,1,1,1,1,1,1,1,1
48349526581,47061,1,1,1,1,1,1,1,1
48349554046,47062,1,1,1,1,1,1,1,1
48349584099,47063,1,1,1,1,1,1,1,1
48349615330,47064,1,1,1,1,1,1,1,1
48349646579,47065,1,1,1,1,1,1,1,1
48349680568,47066,1,1,1,1,1,1,1,1
48349710347,47067,1,1,1,1,1,1,1,1
48349765859,47068,1,1,1,1,1,1,1,1
48349770587,47069,1,1,1,1,1,1,1,1
48349805573,47070,1,1,1,1,1,1,1,1
48349834117,47071,1,1,1,1,1,1,1,1
48349864043,47072,1,1,1,1,1,1,1,1
48349900343,47073,1,1,1,1,1,1,1,1
48349929074,47074,1,1,1,1,1,1,1,1
48349957765,47075,1,1,1,1,1,1,1,1
48349989182,47076,1,1,1,1,1,1,1,1
48350046804,47077,1,1,1,1,1,1,1,1
48350051614,47078,1,1,1,1,1,1,1,1
48350108015,47079,1,1,1,1,1,1,1,1
48350115279,47080,1,1,1,1,1,1,1,1
48350149297,47081,1,1,1,1,1,1,1,1
48350180551,47082,1,1,1,1,1,1,1,1
48350212783,47083,1,1,1,1,1,1,1,1
48350241564,47084,1,1,1,1,1,1,1,1
48350270267,47085,1,1,1,1,1,1,1,1
48350302793,47086,1,1,1,1,1,1,1,1
48350334131,47087,1,1,1,1,1,1,1,1
48350365464,47088,1,1,1,1,1,1,1,1
48350396690,47089,1,1,1,1,1,1,1,1
48350425366,47090,1,1,1,1,1,1,1,1
48350457750,47091,1,1,1,1,1,1,1,1
48350491561,47092,1,1,1,1,1,1,1,1
48350546624,47093,1,1,1,1,1,1,1,1
48350556772,47094,1,1,1,1,1,1,1,1
48350586624,47095,1,1,1,1,1,1,1,1
48350615316,47096,1,1,1,1,1,1,1,1
48350645345,47097,1,1,1,1,1,1,1,1
48350682890,47098,1,1,1,1,1,1,1,1
48350709118,47099,1,1,1,1,1,1,1,1
48350746565,47100,1,1,1,1,1,1,1,1
48350770405,47101,1,1,1,1,1,1,1,1
48350822777,47102,1,1,1,1,1,1,1,1
48350835302,47103,1,1,1,1,1,1,1,1
48350866568,47104,1,1,1,1,1,1,1,1
48350899096,47105,1,1,1,1,1,1,1,1
48350927060,47106,1,1,1,1,1,1,1,1
48350961753,47107,1,1,1,1,1,1,1,1
48350994079,47108,1,1,1,1,1,1,1,1
48351022801,47109,1,1,1,1,1,1,1,1
48351062796,47110,1,1,1,1,1,1,1,1
48351085300,47111,1,1,1,1,1,1,1,1
48351116575,47112,1,1,1,1,1,1,1,1
48351147789,47113,1,1,1,1,1,1,1,1
48351176665,47114,1,1,1,1,1,1,1,1
48351234171,47115,1,1,1,1,1,1,1,1
48351241645,47116,1,1,1,1,1,1,1,1
48351275588,47117,1,1,1,1,1,1,1,1
48351304046,47118,1,1,1,1,1,1,1,1
48351329655,47119,1,1,1,1,1,1,1,1
48351382968,47120,1,1,1,1,1,1,1,1
48351400549,47121,1,1,1,1,1,1,1,1
48351431569,47122,1,1,1,1,1,1,1,1
48351460318,47123,1,1,1,1,1,1,1,1
48351496509,47124,1,1,1,1,1,1,1,1
48351521933,47125,1,1,1,1,1,1,1,1
48351554067,47126,1,1,1,1,1,1,1,1
48351585290,47127,1,1,1,1,1,1,1,1
48351615286,47128,1,1,1,1,1,1,1,1
48351672530,47129,1,1,1,1,1,1,1,1
48351683060,47130,1,1,1,1,1,1,1,1
48351712879,47131,1,1,1,1,1,1,1,1
48351740518,47132,1,1,1,1,1,1,1,1
48351770463,47133,1,1,1,1,1,1,1,1
48351809087,47134,1,1,1,1,1,1,1,1
48351832840,47135,1,1,1,1,1,1,1,1
48351865332,47136,1,1,1,1,1,1,1,1
48351896536,47137,1,1,1,1,1,1,1,1
48351925310,47138,1,1,1,1,1,1,1,1
48352002796,47139,1,1,1,1,1,1,1,1
48352010250,47140,1,1,1,1,1,1,1,1
48352026602,47141,1,1,1,1,1,1,1,1
48352056564,47142,1,1,1,1,1,1,1,1
48352086806,47143,1,1,1,1,1,1,1,1
48352116737,47144,1,1,1,1,1,1,1,1
48352144182,47145,1,1,1,1,1,1,1,1
48352184136,47146,1,1,1,1,1,1,1,1
48352211697,47147,1,1,1,1,1,1,1,1
48352241612,47148,1,1,1,1,1,1,1,1
48352284018,47149,1,1,1,1,1,1,1,1
48352307831,47150,1,1,1,1,1,1,1,1
48352335349,47151,1,1,1,1,1,1,1,1
48352367828,47152,1,1,1,1,1,1,1,1
48352396593,47153,1,1,1,1,1,1,1,1
48352437878,47154,1,1,1,1,1,1,1,1
48352465356,47155,1,1,1,1,1,1,1,1
48352496252,47156,1,1,1,1,1,1,1,1
48352512491,47157,1,1,1,1,1,1,1,1
48352570641,47158,1,1,1,1,1,1,1,1
48352588246,47159,1,1,1,1,1,1,1,1
48352616662,47160,1,1,1,1,1,1,1,1
48352654208,47161,1,1,1,1,1,1,1,1
48352681582,47162,1,1,1,1,1,1,1,1
48352707993,47163,1,1,1,1,1,1,1,1
48352740330,47164,1,1,1,1,1,1,1,1
48352769060,47165,1,1,1,1,1,1,1,1
48352807815,47166,1,1,1,1,1,1,1,1
48352835318,47167,1,1,1,1,1,1,1,1
48352890372,47168,1,1,1,1,1,1,1,1
48352900496,47169,1,1,1,1,1,1,1,1
48352925533,47170,1,1,1,1,1,1,1,1
48352959122,47171,1,1,1,1,1,1,1,1
48352991604,47172,1,1,1,1,1,1,1,1
48353022885,47173,1,1,1,1,1,1,1,1
48353052852,47174,1,1,1,1,1,1,1,1
48353082871,47175,1,1,1,1,1,1,1,1
48353115365,47176,1,1,1,1,1,1,1,1
48353146613,47177,1,1,1,1,1,1,1,1
48353182877,47178,1,1,1,1,1,1,1,1
48353215486,47179,1,1,1,1,1,1,1,1
48353242984,47180,1,1,1,1,1,1,1,1
48353294319,47181,1,1,1,1,1,1,1,1
48353306628,47182,1,1,1,1,1,1,1,1
48353333612,47183,1,1,1,1,1,1,1,1
48353365402,47184,1,1,1,1,1,1,1,1
48353397996,47185,1,1,1,1,1,1,1,1
48353430547,47186,1,1,1,1,1,1,1,1
48353459198,47187,1,1,1,1,1,1,1,1
48353494138,47188,1,1,1,1,1,1,1,1
48353524111,47189,1,1,1,1,1,1,1,1
48353558991,47190,1,1,1,1,1,1,1,1
48353586653,47191,1,1,1,1,1,1,1,1
48353614056,47192,1,1,1,1,1,1,1,1
48353647791,47193,1,1,1,1,1,1,1,1
48353678036,47194,1,1,1,1,1,1,1,1
48353703823,47195,1,1,1,1,1,1,1,1
48353731218,47196,1,1,1,1,1,1,1,1
48353787878,47197,1,1,1,1,1,1,1,1
48353807043,47198,1,1,1,1,1,1,1,1
48353832898,47199,1,1,1,1,1,1,1,1
48353872860,47200,1,1,1,1,1,1,1,1
48353916602,47201,1,1,1,1,1,1,1,1
48353936625,47202,1,1,1,1,1,1,1,1
48353961540,47203,1,1,1,1,1,1,1,1
48353987817,47204,1,1,1,1,1,1,1,1
48354022814,47205,1,1,1,1,1,1,1,1
48354055554,47206,1,1,1,1,1,1,1,1
48354085563,47207,1,1,1,1,1,1,1,1
48354111227,47208,1,1,1,1,1,1,1,1
48354144335,47209,1,1,1,1,1,1,1,1
48354181608,47210,1,1,1,1,1,1,1,1
48354211613,47211,1,1,1,1,1,1,1,1
48354245389,47212,1,1,1,1,1,1,1,1
48354281599,47213,1,1,1,1,1,1,1,1
48354309173,47214,1,1,1,1,1,1,1,1
48354339087,47215,1,1,1,1,1,1,1,1
48354370330,47216,1,1,1,1,1,1,1,1
48354400317,47217,1,1,1,1,1,1,1,1
48354430301,47218,1,1,1,1,1,1,1,1
48354460349,47219,1,1,1,1,1,1,1,1
48354492884,47220,1,1,1,1,1,1,1,1
48354520581,47221,1,1,1,1,1,1,1,1
48354556654,47222,1,1,1,1,1,1,1,1
48354581584,47223,1,1,1,1,1,1,1,1
48354616631,47224,1,1,1,1,1,1,1,1
48354656575,47225,1,1,1,1,1,1,1,1
48354682963,47226,1,1,1,1,1,1,1,1
48354711630,47227,1,1,1,1,1,1,1,1
48354741581,47228,1,1,1,1,1,1,1,1
48354772942,47229,1,1,1,1,1,1,1,1
48354804052,47230,1,1,1,1,1,1,1,1
48354835330,47231,1,1,1,1,1,1,1,1
48354865405,47232,1,1,1,1,1,1,1,1
48354895626,47233,1,1,1,1,1,1,1,1
48354922978,47234,1,1,1,1,1,1,1,1
48354981588,47235,1,1,1,1,1,1,1,1
48354997872,47236,1,1,1,1,1,1,1,1
48355026663,47237,1,1,1,1,1,1,1,1
48355052938,47238,1,1,1,1,1,1,1,1
48355084095,47239,1,1,1,1,1,1,1,1
48355115351,47240,1,1,1,1,1,1,1,1
48355146528,47241,1,1,1,1,1,1,1,1
48355190460,47242,1,1,1,1,1,1,1,1
48355206557,47243,1,1,1,1,1,1,1,1
48355240609,47244,1,1,1,1,1,1,1,1
48355271888,47245,1,1,1,1,1,1,1,1
48355324569,47246,1,1,1,1,1,1,1,1
48355328731,47247,1,1,1,1,1,1,1,1
