timestamp,sequence,battery,flags,IMU_B-ch1,IMU_B-ch2,IMU_B-ch3,IMU_B-ch4,IMU_B-ch5,IMU_B-ch6,IMU_B-ch7,IMU_B-ch8,IMU_B-ch9
47843193755,30859,5,0,9.1683593750,2.0767578125,-2.9309082031,14.5731707317,0.0000000000,-2.7439024390,106.7978640427,-99.5980080398,-82.7983440331
47843233699,30860,5,0,9.2186035156,1.9595214844,-2.9380859375,12.6829268293,-0.3658536585,-2.1951219512,106.7978640427,-99.5980080398,-82.7983440331
47843257713,30861,5,0,9.2568847656,1.8446777344,-2.9213378906,12.3475609756,-0.2439024390,-1.8597560976,106.7978640427,-99.5980080398,-82.7983440331
47843291199,30862,5,0,9.2592773438,2.0265136719,-2.9763671875,13.2012195122,0.5487804878,-1.2195121951,105.5978880422,-104.3979120418,-85.1982960341
47843330889,30863,5,0,9.1851074219,2.0217285156,-3.0146484375,11.6158536585,0.4573170732,-2.1341463415,105.5978880422,-104.3979120418,-85.1982960341
47843350127,30864,5,0,9.2114257813,1.9068847656,-2.9620117188,10.0304878049,-0.1524390244,-2.0426829268,105.5978880422,-104.3979120418,-85.1982960341
47843382542,30865,5,0,9.1875000000,1.8997070313,-2.9883300781,9.9695121951,-0.2439024390,-0.7317073171,105.5978880422,-104.3979120418,-85.1982960341
47843414976,30866,5,0,9.1922851563,1.8470703125,-2.9979003906,9.6646341463,-0.6707317073,-0.2134146341,107.3978520430,-102.5979480410,-80.9983800324
47843443725,30867,5,0,9.2209960938,1.9188476563,-3.0529296875,9.7865853659,-0.9146341463,0.4878048780,107.3978520430,-102.5979480410,-80.9983800324
47843474960,30868,5,0,9.1994628906,1.8997070313,-3.0936035156,8.9024390244,-1.3109756098,0.7621951220,107.3978520430,-102.5979480410,-80.9983800324
47843504994,30869,5,0,9.2162109375,1.8542480469,-3.0936035156,7.9268292683,-1.4024390244,1.1585365854,107.3978520430,-102.5979480410,-80.9983800324
47843536194,30870,5,0,9.1898925781,1.8351074219,-3.1031738281,7.2256097561,-1.0365853659,1.4329268293,101.9979600408,-98.3980320394,-74.3985120298
47843569986,30871,5,0,9.2066406250,1.8111816406,-3.1007812500,6.5853658537,-0.9451219512,1.8902439024,101.9979600408,-98.3980320394,-74.3985120298
47843626556,30872,5,0,9.2425292969,1.8446777344,-3.1390625000,6.0060975610,-0.4573170732,2.1951219512,101.9979600408,-98.3980320394,-74.3985120298
47843634933,30873,5,0,9.2162109375,1.7992187500,-3.1462402344,4.9390243902,0.1524390244,2.0426829268,101.9979600408,-98.3980320394,-74.3985120298
47843661557,30874,5,0,9.2138183594,1.8135742188,-3.1486328125,4.1768292683,0.4268292683,1.8597560976,109.7978040439,-98.9980200396,-79.7984040319
47843691258,30875,5,0,9.2209960938,1.7752929688,-3.1414550781,3.0487804878,0.6402439024,1.5548780488,109.7978040439,-98.9980200396,-79.7984040319
47843717072,30876,5,0,9.2305664063,1.7298339844,-3.1342773438,2.2560975610,0.7621951220,1.3414634146,109.7978040439,-98.9980200396,-79.7984040319
47843757621,30877,5,0,9.1683593750,1.7657226563,-3.1294921875,1.9207317073,0.8841463415,1.2804878049,109.7978040439,-98.9980200396,-79.7984040319
47843794978,30878,5,0,9.2209960938,1.7370117188,-3.0912109375,1.2804878049,0.7317073171,1.0365853659,107.9978400432,-100.7979840403,-76.7984640307
47843821226,30879,5,0,9.2497070313,1.7920410156,-3.1247070313,1.2195121951,0.8231707317,1.0975609756,107.9978400432,-100.7979840403,-76.7984640307
47843850041,30880,5,0,9.2425292969,1.6173828125,-3.0720703125,0.2134146341,1.1280487805,1.1280487805,107.9978400432,-100.7979840403,-76.7984640307
47843890198,30881,5,0,9.2425292969,1.6173828125,-3.0720703125,0.2134146341,1.1280487805,1.1280487805,107.9978400432,-100.7979840403,-76.7984640307
47843918979,30882,5,0,9.2592773438,1.8183593750,-3.1247070313,1.0060975610,1.8597560976,1.7378048780,109.1978160437,-104.3979120418,-76.7984640307
47843962576,30883,5,0,9.2018554688,1.6987304688,-3.1270996094,-0.8231707317,1.8292682927,0.6097560976,109.1978160437,-104.3979120418,-76.7984640307
47843978731,30884,5,0,9.2425292969,1.7130859375,-3.0696777344,-1.4024390244,1.3109756098,0.9146341463,109.1978160437,-104.3979120418,-76.7984640307
47844003714,30885,5,0,9.1994628906,1.6867675781,-3.0768554688,-1.8597560976,1.4939024390,1.8597560976,109.1978160437,-104.3979120418,-76.7984640307
47844034961,30886,5,0,9.1803222656,1.5838867188,-3.0768554688,-2.1646341463,1.1890243902,1.7378048780,113.3977320454,-101.3979720406,-77.3984520310
